Filename latitude longitude altitude roll[deg] pitch[deg] yaw[deg] accLon accLat accAlt tT 
DSC00954.JPG 52.206706441 21.264548719 322.965301514 -25.44 5.1 307.89 1 1 1 7:39:31.199
DSC00955.JPG 52.206315188 21.264707561 324.782501221 -41.25 4.39 214.11 1 1 1 7:39:33.819
DSC00956.JPG 52.205978127 21.265153144 325.207305908 -15.18 4.37 149.74 1 1 1 7:39:36.219
DSC00957.JPG 52.205595108 21.265542937 324.048797607 12 1.29 149.08 1 1 1 7:39:38.619
DSC00958.JPG 52.205190462 21.265876785 325.042816162 3.76 4.47 163.98 1 1 1 7:39:41.019
DSC00959.JPG 52.204822074 21.266232413 324.338714600 -5.69 3.43 155.44 1 1 1 7:39:43.220
DSC00960.JPG 52.204443928 21.266584848 322.174011230 1.84 3.69 155.83 1 1 1 7:39:45.419
DSC00961.JPG 52.204056272 21.266929830 321.397613525 2.1 4.27 156.03 1 1 1 7:39:47.619
DSC00962.JPG 52.203682465 21.267260677 321.329315186 -1.36 6.51 155.88 1 1 1 7:39:49.819
DSC00963.JPG 52.203316241 21.267611771 321.270416260 -3 6.22 155.33 1 1 1 7:39:52.019
DSC00964.JPG 52.202948760 21.267964175 321.410308838 1.12 6.69 154.28 1 1 1 7:39:54.219
DSC00965.JPG 52.202575966 21.268297959 321.201599121 2.46 5.94 158.76 1 1 1 7:39:56.419
DSC00966.JPG 52.202202374 21.268646714 321.528900146 -3.07 6.41 157.53 1 1 1 7:39:58.619
DSC00967.JPG 52.201823173 21.268990705 321.721191406 0.85 6.34 157.7 1 1 1 7:40:0.819
DSC00968.JPG 52.201446048 21.269335874 322.959594727 -1.41 5.7 156.53 1 1 1 7:40:3.019
DSC00969.JPG 52.201065898 21.269678242 323.766998291 0.45 5.51 157.51 1 1 1 7:40:5.219
DSC00970.JPG 52.200683760 21.270030266 324.568206787 -1.38 4.47 156.36 1 1 1 7:40:7.419
DSC00971.JPG 52.200298843 21.270378284 324.341308594 -0.85 4.78 155.72 1 1 1 7:40:9.619
DSC00972.JPG 52.199883660 21.270253518 322.496704102 36.83 3.88 169.33 1 1 1 7:40:12.419
DSC00973.JPG 52.200128636 21.269725821 324.417602539 45.18 5.36 268.26 1 1 1 7:40:17.799
DSC00974.JPG 52.200499984 21.269380568 325.185607910 4.43 1.71 318.59 1 1 1 7:40:22.599
DSC00975.JPG 52.200864831 21.269047783 322.298706055 -2.39 3.38 319.82 1 1 1 7:40:27.199
DSC00976.JPG 52.201223478 21.268701268 320.606994629 -1.81 5.09 319.02 1 1 1 7:40:31.799
DSC00977.JPG 52.201582714 21.268359997 322.461914063 3.69 6.32 319.57 1 1 1 7:40:36.599
DSC00978.JPG 52.201950762 21.268031537 320.252410889 3.39 6.33 314.88 1 1 1 7:40:41.199
DSC00979.JPG 52.202317005 21.267694122 321.920104980 -4.6 7.41 318.02 1 1 1 7:40:45.799
DSC00980.JPG 52.202687373 21.267338187 323.793212891 -2.41 6.55 311.68 1 1 1 7:40:50.599
DSC00981.JPG 52.203062427 21.266998644 324.471191406 1.46 4.64 318.06 1 1 1 7:40:55.199
